locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBKIICBG_00034	CDS	288	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
MBKIICBG_00035	gene	594	uhpA			
MBKIICBG_00035	CDS	594	uhpA		COG2197	Transcriptional regulatory protein UhpA
MBKIICBG_00036	gene	1503	uhpB			
MBKIICBG_00036	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
MBKIICBG_00037	gene	1329	uhpC			
MBKIICBG_00037	CDS	1329	uhpC		COG2271	Membrane sensor protein UhpC
MBKIICBG_00038	gene	1392	uhpT			
MBKIICBG_00038	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
MBKIICBG_00039	gene	453				
MBKIICBG_00039	CDS	453				hypothetical protein
MBKIICBG_00040	gene	324				
MBKIICBG_00040	CDS	324				hypothetical protein
MBKIICBG_00041	gene	360				
MBKIICBG_00041	CDS	360				hypothetical protein
MBKIICBG_00042	gene	1194	nepI_1			
MBKIICBG_00042	CDS	1194	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
MBKIICBG_00043	gene	810	phnX			
MBKIICBG_00043	CDS	810	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
MBKIICBG_00044	gene	1104	phnW			
MBKIICBG_00044	CDS	1104	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
MBKIICBG_00045	gene	720	phnR			
MBKIICBG_00045	CDS	720	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
MBKIICBG_00046	gene	1014	phnS			
MBKIICBG_00046	CDS	1014	phnS		COG1840	Putative 2-aminoethylphosphonate-binding periplasmic protein
MBKIICBG_00047	gene	1113	phnT			
MBKIICBG_00047	CDS	1113	phnT		COG3842	Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
MBKIICBG_00048	gene	861	phnU			
MBKIICBG_00048	CDS	861	phnU		COG0555	Putative 2-aminoethylphosphonate transport system permease protein PhnU
MBKIICBG_00049	gene	378	phnV_1			
MBKIICBG_00049	CDS	378	phnV_1		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
MBKIICBG_00050	gene	408	phnV_2			
MBKIICBG_00050	CDS	408	phnV_2		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
MBKIICBG_00051	gene	1380	lamB_1			
MBKIICBG_00051	CDS	1380	lamB_1		COG4580	Maltoporin
MBKIICBG_00052	gene	303	chbA_1			
MBKIICBG_00052	CDS	303	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
MBKIICBG_00053	gene	1323	licC_1			
MBKIICBG_00053	CDS	1323	licC_1		COG1455	Lichenan permease IIC component
MBKIICBG_00054	gene	315	celA_1			
MBKIICBG_00054	CDS	315	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
MBKIICBG_00055	gene	945				
MBKIICBG_00055	CDS	945			COG1609	HTH-type transcriptional regulator
MBKIICBG_00056	gene	1371	pcaK_1			
MBKIICBG_00056	CDS	1371	pcaK_1		COG0477	4-hydroxybenzoate transporter PcaK
MBKIICBG_00057	gene	1263	galA			
MBKIICBG_00057	CDS	1263	galA	1.13.11.57		Gallate dioxygenase
MBKIICBG_00058	gene	1227	hdfR_1			
MBKIICBG_00058	CDS	1227	hdfR_1			HTH-type transcriptional regulator HdfR
MBKIICBG_00059	gene	741	galB			
MBKIICBG_00059	CDS	741	galB	4.2.1.83	COG2120	4-oxalmesaconate hydratase
MBKIICBG_00060	gene	714	galC			
MBKIICBG_00060	CDS	714	galC	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipic acid aldolase
MBKIICBG_00061	gene	1086	galD			
MBKIICBG_00061	CDS	1086	galD	5.3.2.8	COG2828	4-oxalomesaconate tautomerase
MBKIICBG_00062	gene	864				
MBKIICBG_00062	CDS	864				hypothetical protein
MBKIICBG_00063	gene	291				
MBKIICBG_00063	CDS	291				hypothetical protein
MBKIICBG_00064	gene	903	yicL			
MBKIICBG_00064	CDS	903	yicL		COG0697	putative inner membrane transporter YicL
MBKIICBG_00065	gene	1434	murP			
MBKIICBG_00065	CDS	1434	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
MBKIICBG_00066	gene	903	murQ_1			
MBKIICBG_00066	CDS	903	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
MBKIICBG_00067	gene	1164	bcr_1			
MBKIICBG_00067	CDS	1164	bcr_1			Bicyclomycin resistance protein
MBKIICBG_00068	gene	1365	oprM_1			
MBKIICBG_00068	CDS	1365	oprM_1		COG1538	Outer membrane protein OprM
MBKIICBG_00069	gene	3108	mexB			
MBKIICBG_00069	CDS	3108	mexB		COG0841	Multidrug resistance protein MexB
MBKIICBG_00070	gene	1125	mexA			
MBKIICBG_00070	CDS	1125	mexA			Multidrug resistance protein MexA
MBKIICBG_00071	gene	417				
MBKIICBG_00071	CDS	417		2.3.1.-		Acetyltransferase
MBKIICBG_00072	gene	648	betI_1			
MBKIICBG_00072	CDS	648	betI_1			HTH-type transcriptional regulator BetI
MBKIICBG_00073	gene	1494	bmr3			
MBKIICBG_00073	CDS	1494	bmr3			Multidrug resistance protein 3
MBKIICBG_00074	gene	915	dmlR_1			
MBKIICBG_00074	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
MBKIICBG_00075	gene	627				
MBKIICBG_00075	CDS	627				hypothetical protein
MBKIICBG_00076	gene	471				
MBKIICBG_00076	CDS	471				hypothetical protein
MBKIICBG_00077	gene	537				
MBKIICBG_00077	CDS	537				hypothetical protein
MBKIICBG_00078	gene	906	mtrA			
MBKIICBG_00078	CDS	906	mtrA			HTH-type transcriptional regulator MtrA
MBKIICBG_00079	gene	810	nlpA			
MBKIICBG_00079	CDS	810	nlpA		COG1464	Lipoprotein 28
MBKIICBG_00080	gene	855				
MBKIICBG_00080	CDS	855				hypothetical protein
MBKIICBG_00081	gene	561	rppH_1			
MBKIICBG_00081	CDS	561	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
MBKIICBG_00082	gene	780				
MBKIICBG_00082	CDS	780				hypothetical protein
MBKIICBG_00083	gene	954	cdhR_1			
MBKIICBG_00083	CDS	954	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
MBKIICBG_00084	gene	1050	yahK			
MBKIICBG_00084	CDS	1050	yahK	1.1.1.2	COG1064	Aldehyde reductase YahK
MBKIICBG_00085	gene	699	iprA_1			
MBKIICBG_00085	CDS	699	iprA_1			Inhibitor of hydrogen peroxide resistance
MBKIICBG_00086	gene	291	ycnE			
MBKIICBG_00086	CDS	291	ycnE	1.-.-.-	COG1359	Putative monooxygenase YcnE
MBKIICBG_00087	gene	1008				
MBKIICBG_00087	CDS	1008				Zinc-type alcohol dehydrogenase-like protein
MBKIICBG_00088	gene	468				
MBKIICBG_00088	CDS	468				hypothetical protein
MBKIICBG_00089	gene	95				
MBKIICBG_00089	tRNA	95				tRNA-SeC(tca)
MBKIICBG_00090	gene	1395	yicJ_1			
MBKIICBG_00090	CDS	1395	yicJ_1		COG2211	Inner membrane symporter YicJ
MBKIICBG_00091	gene	2319	yicI			
MBKIICBG_00091	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
MBKIICBG_00092	gene	723				
MBKIICBG_00092	CDS	723				hypothetical protein
MBKIICBG_00093	gene	1380	pagL			
MBKIICBG_00093	CDS	1380	pagL	3.2.1.-	COG1486	Phospho-alpha-glucosidase PagL
MBKIICBG_00094	gene	1560	malP_2			
MBKIICBG_00094	CDS	1560	malP_2		COG1263	PTS system maltose-specific EIICB component
MBKIICBG_00095	gene	1716				
MBKIICBG_00095	CDS	1716				hypothetical protein
MBKIICBG_00096	gene	1392	xanP_1			
MBKIICBG_00096	CDS	1392	xanP_1		COG2233	Xanthine permease XanP
MBKIICBG_00097	gene	1203	gltS			
MBKIICBG_00097	CDS	1203	gltS		COG0786	Sodium/glutamate symporter
MBKIICBG_00098	gene	1512	glpK			
MBKIICBG_00098	CDS	1512	glpK	2.7.1.30	COG0554	Glycerol kinase
MBKIICBG_00099	gene	852	glpF_1			
MBKIICBG_00099	CDS	852	glpF_1		COG0580	Glycerol uptake facilitator protein
MBKIICBG_00100	gene	240	zapB			
MBKIICBG_00100	CDS	240	zapB		COG3074	Cell division protein ZapB
MBKIICBG_00101	gene	990	sbp			
MBKIICBG_00101	CDS	990	sbp		COG1613	Sulfate-binding protein
MBKIICBG_00102	gene	765	cdh			
MBKIICBG_00102	CDS	765	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
MBKIICBG_00103	gene	1305				
MBKIICBG_00103	CDS	1305				hypothetical protein
MBKIICBG_00104	gene	768	tpiA			
MBKIICBG_00104	CDS	768	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
MBKIICBG_00105	gene	603				
MBKIICBG_00105	CDS	603				hypothetical protein
MBKIICBG_00106	gene	429				
MBKIICBG_00106	CDS	429				hypothetical protein
MBKIICBG_00107	gene	747	fpr			
MBKIICBG_00107	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
MBKIICBG_00108	gene	1011	glpX			
MBKIICBG_00108	CDS	1011	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
MBKIICBG_00109	gene	2082	recG			
MBKIICBG_00109	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
MBKIICBG_00110	gene	690	trmH			
MBKIICBG_00110	CDS	690	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
MBKIICBG_00111	gene	2121	spoT			
MBKIICBG_00111	CDS	2121	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
MBKIICBG_00112	gene	276	rpoZ			
MBKIICBG_00112	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
MBKIICBG_00113	gene	624	gmk			
MBKIICBG_00113	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
MBKIICBG_00114	gene	1677	ligB			
MBKIICBG_00114	CDS	1677	ligB	6.5.1.2	COG0272	DNA ligase B
MBKIICBG_00115	gene	618				
MBKIICBG_00115	CDS	618				hypothetical protein
MBKIICBG_00116	gene	1251	clcB_1			
MBKIICBG_00116	CDS	1251	clcB_1			Voltage-gated ClC-type chloride channel ClcB
MBKIICBG_00117	gene	1059	ada_1			
MBKIICBG_00117	CDS	1059	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
MBKIICBG_00118	gene	747				
MBKIICBG_00118	CDS	747			COG2513	putative protein
MBKIICBG_00119	gene	864				
MBKIICBG_00119	CDS	864				hypothetical protein
MBKIICBG_00120	gene	981				
MBKIICBG_00120	CDS	981			COG3039	IS5 family transposase ISKpn26
MBKIICBG_00121	gene	1701				
MBKIICBG_00121	CDS	1701				hypothetical protein
MBKIICBG_00122	gene	966				
MBKIICBG_00122	CDS	966				hypothetical protein
MBKIICBG_00123	gene	918	ybhF_1			
MBKIICBG_00123	CDS	918	ybhF_1		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
MBKIICBG_00124	gene	1095	ybhR_1			
MBKIICBG_00124	CDS	1095	ybhR_1		COG0842	putative multidrug ABC transporter permease YbhR
MBKIICBG_00125	gene	717	rph			
MBKIICBG_00125	CDS	717	rph	2.7.7.56		Ribonuclease PH
MBKIICBG_00126	gene	642	pyrE			
MBKIICBG_00126	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
MBKIICBG_00127	gene	597	slmA			
MBKIICBG_00127	CDS	597	slmA		COG1309	Nucleoid occlusion factor SlmA
MBKIICBG_00128	gene	459	dut			
MBKIICBG_00128	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
MBKIICBG_00129	gene	1218	coaBC			
MBKIICBG_00129	CDS	1218	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
MBKIICBG_00130	gene	666				
MBKIICBG_00130	CDS	666				hypothetical protein
MBKIICBG_00131	gene	237	rpmB			
MBKIICBG_00131	CDS	237	rpmB		COG0227	50S ribosomal protein L28
MBKIICBG_00132	gene	168	rpmG			
MBKIICBG_00132	CDS	168	rpmG		COG0267	50S ribosomal protein L33
MBKIICBG_00133	gene	810	mutM			
MBKIICBG_00133	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
MBKIICBG_00134	gene	480	coaD			
MBKIICBG_00134	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
MBKIICBG_00135	gene	777				
MBKIICBG_00135	CDS	777				hypothetical protein
MBKIICBG_00136	gene	1275	waaA			
MBKIICBG_00136	CDS	1275	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
MBKIICBG_00137	gene	990				
MBKIICBG_00137	CDS	990				hypothetical protein
MBKIICBG_00138	gene	1095	pglJ			
MBKIICBG_00138	CDS	1095	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
MBKIICBG_00139	gene	1128	rfaG			
MBKIICBG_00139	CDS	1128	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
MBKIICBG_00140	gene	1077	rfaQ			
MBKIICBG_00140	CDS	1077	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
MBKIICBG_00141	gene	963				
MBKIICBG_00141	CDS	963				hypothetical protein
MBKIICBG_00142	gene	1080				
MBKIICBG_00142	CDS	1080				hypothetical protein
MBKIICBG_00143	gene	1170				
MBKIICBG_00143	CDS	1170				hypothetical protein
MBKIICBG_00144	gene	909				
MBKIICBG_00144	CDS	909				hypothetical protein
MBKIICBG_00145	gene	972	rfaC			
MBKIICBG_00145	CDS	972	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
MBKIICBG_00146	gene	1020	rfaF			
MBKIICBG_00146	CDS	1020	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
MBKIICBG_00147	gene	933	hldD			
MBKIICBG_00147	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
MBKIICBG_00148	gene	1194	kbl			
MBKIICBG_00148	CDS	1194	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
MBKIICBG_00149	gene	1026	tdh			
MBKIICBG_00149	CDS	1026	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
MBKIICBG_00150	gene	789				
MBKIICBG_00150	CDS	789				hypothetical protein
MBKIICBG_00151	gene	948				
MBKIICBG_00151	CDS	948				hypothetical protein
MBKIICBG_00152	gene	1257	envC			
MBKIICBG_00152	CDS	1257	envC		COG4942	Murein hydrolase activator EnvC
MBKIICBG_00153	gene	1545	gpmI			
MBKIICBG_00153	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
MBKIICBG_00154	gene	432	yibN			
MBKIICBG_00154	CDS	432	yibN		COG0607	putative protein YibN
MBKIICBG_00155	gene	252	grxC			
MBKIICBG_00155	CDS	252	grxC		COG0695	Glutaredoxin 3
MBKIICBG_00156	gene	468	secB			
MBKIICBG_00156	CDS	468	secB		COG1952	Protein-export protein SecB
MBKIICBG_00157	gene	1020	gpsA			
MBKIICBG_00157	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
MBKIICBG_00158	gene	822	cysE			
MBKIICBG_00158	CDS	822	cysE	2.3.1.30	COG1045	Serine acetyltransferase
MBKIICBG_00159	gene	474	trmL_1			
MBKIICBG_00159	CDS	474	trmL_1	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
MBKIICBG_00160	gene	1185	lldD_1			
MBKIICBG_00160	CDS	1185	lldD_1	1.1.-.-	COG1304	L-lactate dehydrogenase
MBKIICBG_00161	gene	774	lldR_1			
MBKIICBG_00161	CDS	774	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
MBKIICBG_00162	gene	1656	lldP			
MBKIICBG_00162	CDS	1656	lldP		COG1620	L-lactate permease
MBKIICBG_00163	gene	363	yibL			
MBKIICBG_00163	CDS	363	yibL			putative protein YibL
MBKIICBG_00164	gene	225	glgS_1			
MBKIICBG_00164	CDS	225	glgS_1			Surface composition regulator
MBKIICBG_00165	gene	597	mtlR			
MBKIICBG_00165	CDS	597	mtlR		COG3722	Mannitol operon repressor
MBKIICBG_00166	gene	1149	mtlD			
MBKIICBG_00166	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
MBKIICBG_00167	gene	1908	mtlA			
MBKIICBG_00167	CDS	1908	mtlA		COG2213	PTS system mannitol-specific EIICBA component
MBKIICBG_00168	gene	369	yiaW_1			
MBKIICBG_00168	CDS	369	yiaW_1			Inner membrane protein YiaW
MBKIICBG_00169	gene	1137	yibH_1			
MBKIICBG_00169	CDS	1137	yibH_1		COG1566	Inner membrane protein YibH
MBKIICBG_00170	gene	609	yibF			
MBKIICBG_00170	CDS	609	yibF		COG0625	putative GST-like protein YibF
MBKIICBG_00171	gene	1389	selA			
MBKIICBG_00171	CDS	1389	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
MBKIICBG_00172	gene	1842	selB			
MBKIICBG_00172	CDS	1842	selB		COG3276	Selenocysteine-specific elongation factor
MBKIICBG_00173	gene	486	cooF			
MBKIICBG_00173	CDS	486	cooF		COG1142	Iron-sulfur protein
MBKIICBG_00174	gene	1257	avtA			
MBKIICBG_00174	CDS	1257	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
MBKIICBG_00175	gene	2034	malS			
MBKIICBG_00175	CDS	2034	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
MBKIICBG_00176	gene	564				
MBKIICBG_00176	CDS	564				hypothetical protein
MBKIICBG_00177	gene	1179	xylR			
MBKIICBG_00177	CDS	1179	xylR			Xylose operon regulatory protein
MBKIICBG_00178	gene	1182	xylH			
MBKIICBG_00178	CDS	1182	xylH		COG4214	Xylose transport system permease protein XylH
MBKIICBG_00179	gene	1542	xylG_1			
MBKIICBG_00179	CDS	1542	xylG_1	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
MBKIICBG_00180	gene	996	xylF			
MBKIICBG_00180	CDS	996	xylF		COG4213	D-xylose-binding periplasmic protein
MBKIICBG_00181	gene	1323	xylA_1			
MBKIICBG_00181	CDS	1323	xylA_1	5.3.1.5		Xylose isomerase
MBKIICBG_00182	gene	1455	xylB_1			
MBKIICBG_00182	CDS	1455	xylB_1	2.7.1.17	COG1070	Xylulose kinase
MBKIICBG_00183	gene	372	yiaB			
MBKIICBG_00183	CDS	372	yiaB		COG4682	Inner membrane protein YiaB
MBKIICBG_00184	gene	447	yiaA			
MBKIICBG_00184	CDS	447	yiaA		COG4682	Inner membrane protein YiaA
MBKIICBG_00185	gene	996	wecH			
MBKIICBG_00185	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
MBKIICBG_00186	gene	303				
MBKIICBG_00186	CDS	303				hypothetical protein
MBKIICBG_00187	gene	912	glyQ			
MBKIICBG_00187	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
MBKIICBG_00188	gene	2070	glyS			
MBKIICBG_00188	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
MBKIICBG_00189	gene	1047				
MBKIICBG_00189	CDS	1047				IS481 family transposase ISKpn28
MBKIICBG_00190	gene	153	hokA			
MBKIICBG_00190	CDS	153	hokA			Protein HokA
MBKIICBG_00191	gene	1620	ettA_1			
MBKIICBG_00191	CDS	1620	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
MBKIICBG_00192	gene	213	cspA			
MBKIICBG_00192	CDS	213	cspA		COG1278	Cold shock protein CspA
MBKIICBG_00193	gene	291				
MBKIICBG_00193	CDS	291				hypothetical protein
MBKIICBG_00194	gene	1356	pcaK_2			
MBKIICBG_00194	CDS	1356	pcaK_2		COG0477	4-hydroxybenzoate transporter PcaK
MBKIICBG_00195	gene	711				
MBKIICBG_00195	CDS	711				hypothetical protein
MBKIICBG_00196	gene	972	ghrB			
MBKIICBG_00196	CDS	972	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
MBKIICBG_00197	gene	1281	ttuB_1			
MBKIICBG_00197	CDS	1281	ttuB_1			Putative tartrate transporter
MBKIICBG_00198	gene	936	kdgK_1			
MBKIICBG_00198	CDS	936	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
MBKIICBG_00199	gene	750				
MBKIICBG_00199	CDS	750				hypothetical protein
MBKIICBG_00200	gene	1017	kdgR_1			
MBKIICBG_00200	CDS	1017	kdgR_1		COG1609	HTH-type transcriptional regulator KdgR
MBKIICBG_00201	gene	663	yiaD			
MBKIICBG_00201	CDS	663	yiaD		COG2885	putative lipoprotein YiaD
MBKIICBG_00202	gene	2331	bisC			
MBKIICBG_00202	CDS	2331	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
MBKIICBG_00203	gene	441	yiaC			
MBKIICBG_00203	CDS	441	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
MBKIICBG_00204	gene	582	tag			
MBKIICBG_00204	CDS	582	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
MBKIICBG_00205	gene	645				
MBKIICBG_00205	CDS	645				hypothetical protein
MBKIICBG_00206	gene	1206	yhjX			
MBKIICBG_00206	CDS	1206	yhjX			putative MFS-type transporter YhjX
MBKIICBG_00207	gene	1674	eptB			
MBKIICBG_00207	CDS	1674	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
MBKIICBG_00208	gene	1395				
MBKIICBG_00208	CDS	1395				hypothetical protein
MBKIICBG_00209	gene	77				
MBKIICBG_00209	tRNA	77				tRNA-Pro(cgg)
MBKIICBG_00210	gene	522				
MBKIICBG_00210	CDS	522				IS3 family transposase ISKpn1
MBKIICBG_00211	gene	786				
MBKIICBG_00211	CDS	786				IS3 family transposase ISKpn1
MBKIICBG_00212	gene	1608	dppA_1			
MBKIICBG_00212	CDS	1608	dppA_1		COG0747	Periplasmic dipeptide transport protein
MBKIICBG_00213	gene	1020	dppB_1			
MBKIICBG_00213	CDS	1020	dppB_1		COG0601	Dipeptide transport system permease protein DppB
MBKIICBG_00214	gene	903	dppC			
MBKIICBG_00214	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
MBKIICBG_00215	gene	984	dppD_1			
MBKIICBG_00215	CDS	984	dppD_1		COG0444	Dipeptide transport ATP-binding protein DppD
MBKIICBG_00216	gene	1014	oppF_1			
MBKIICBG_00216	CDS	1014	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
MBKIICBG_00217	gene	540				
MBKIICBG_00217	CDS	540				hypothetical protein
MBKIICBG_00218	gene	792	bcsQ_1			
MBKIICBG_00218	CDS	792	bcsQ_1			Cellulose biosynthesis protein BcsQ
MBKIICBG_00219	gene	2112	acsAB			
MBKIICBG_00219	CDS	2112	acsAB			Cellulose synthase 1
MBKIICBG_00220	gene	2436	bcsB_1			
MBKIICBG_00220	CDS	2436	bcsB_1			Cyclic di-GMP-binding protein
MBKIICBG_00221	gene	4053	bepA_1			
MBKIICBG_00221	CDS	4053	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
