locus_tag	ftype	length_bp	gene	EC_number	COG	product
CGBLDEDM_00025	CDS	363	yidG			Inner membrane protein YidG
CGBLDEDM_00026	CDS	501				hypothetical protein
CGBLDEDM_00027	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
CGBLDEDM_00028	CDS	1338	dsdX			D-serine transporter DsdX
CGBLDEDM_00029	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
CGBLDEDM_00030	CDS	1185	emrD			Multidrug resistance protein D
CGBLDEDM_00031	CDS	834				hypothetical protein
CGBLDEDM_00032	CDS	447				hypothetical protein
CGBLDEDM_00033	CDS	90				hypothetical protein
CGBLDEDM_00034	misc_RNA	131				istR
CGBLDEDM_00035	CDS	96				hypothetical protein
CGBLDEDM_00036	CDS	1689	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
CGBLDEDM_00037	CDS	288	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
CGBLDEDM_00038	CDS	594	uhpA		COG2197	Transcriptional regulatory protein UhpA
CGBLDEDM_00039	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
CGBLDEDM_00040	CDS	1329	uhpC		COG2271	Membrane sensor protein UhpC
CGBLDEDM_00041	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
CGBLDEDM_00042	CDS	453				hypothetical protein
CGBLDEDM_00043	CDS	324				hypothetical protein
CGBLDEDM_00044	CDS	360				hypothetical protein
CGBLDEDM_00045	CDS	1194	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
CGBLDEDM_00046	CDS	810	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
CGBLDEDM_00047	CDS	1104	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
CGBLDEDM_00048	CDS	720	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
CGBLDEDM_00049	CDS	1014	phnS		COG1840	Putative 2-aminoethylphosphonate-binding periplasmic protein
CGBLDEDM_00050	CDS	1113	phnT		COG3842	Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
CGBLDEDM_00051	CDS	861	phnU		COG0555	Putative 2-aminoethylphosphonate transport system permease protein PhnU
CGBLDEDM_00052	CDS	798	phnV		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
CGBLDEDM_00053	CDS	1380	lamB_1		COG4580	Maltoporin
CGBLDEDM_00054	CDS	303	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
CGBLDEDM_00055	CDS	1323	licC_1		COG1455	Lichenan permease IIC component
CGBLDEDM_00056	CDS	315	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
CGBLDEDM_00057	CDS	945			COG1609	HTH-type transcriptional regulator
CGBLDEDM_00058	CDS	1371	pcaK_1		COG0477	4-hydroxybenzoate transporter PcaK
CGBLDEDM_00059	CDS	1263	galA	1.13.11.57		Gallate dioxygenase
CGBLDEDM_00060	CDS	1227	hdfR_1			HTH-type transcriptional regulator HdfR
CGBLDEDM_00061	CDS	741	galB	4.2.1.83	COG2120	4-oxalmesaconate hydratase
CGBLDEDM_00062	CDS	714	galC	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipic acid aldolase
CGBLDEDM_00063	CDS	1086	galD	5.3.2.8	COG2828	4-oxalomesaconate tautomerase
CGBLDEDM_00064	CDS	864				hypothetical protein
CGBLDEDM_00065	CDS	291				hypothetical protein
CGBLDEDM_00066	CDS	903	yicL		COG0697	putative inner membrane transporter YicL
CGBLDEDM_00067	CDS	1434	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
CGBLDEDM_00068	CDS	903	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
CGBLDEDM_00069	CDS	1164	bcr_1			Bicyclomycin resistance protein
CGBLDEDM_00070	CDS	1365	oprM_1		COG1538	Outer membrane protein OprM
CGBLDEDM_00071	CDS	3108	mexB		COG0841	Multidrug resistance protein MexB
CGBLDEDM_00072	CDS	1125	mexA			Multidrug resistance protein MexA
CGBLDEDM_00073	CDS	417		2.3.1.-		Acetyltransferase
CGBLDEDM_00074	CDS	486				hypothetical protein
CGBLDEDM_00075	CDS	648	betI_1			HTH-type transcriptional regulator BetI
CGBLDEDM_00076	CDS	1494	bmr3			Multidrug resistance protein 3
CGBLDEDM_00077	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
CGBLDEDM_00078	CDS	627				hypothetical protein
CGBLDEDM_00079	CDS	471				hypothetical protein
CGBLDEDM_00080	CDS	537				hypothetical protein
CGBLDEDM_00081	CDS	906	mtrA			HTH-type transcriptional regulator MtrA
CGBLDEDM_00082	CDS	810	nlpA		COG1464	Lipoprotein 28
CGBLDEDM_00083	CDS	855				hypothetical protein
CGBLDEDM_00084	CDS	561	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
CGBLDEDM_00085	CDS	780				hypothetical protein
CGBLDEDM_00086	CDS	954	cdhR		COG4977	HTH-type transcriptional regulator CdhR
CGBLDEDM_00087	CDS	1050	yahK	1.1.1.2	COG1064	Aldehyde reductase YahK
CGBLDEDM_00088	CDS	699	iprA_1			Inhibitor of hydrogen peroxide resistance
CGBLDEDM_00089	CDS	291	ycnE	1.-.-.-	COG1359	Putative monooxygenase YcnE
CGBLDEDM_00090	CDS	1008				Zinc-type alcohol dehydrogenase-like protein
CGBLDEDM_00091	CDS	468				hypothetical protein
CGBLDEDM_00092	tRNA	95				tRNA-SeC(tca)
CGBLDEDM_00093	CDS	1395	yicJ_1		COG2211	Inner membrane symporter YicJ
CGBLDEDM_00094	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
CGBLDEDM_00095	CDS	723				hypothetical protein
CGBLDEDM_00096	CDS	1380	bglT	3.2.1.86	COG1486	6-phospho-beta-glucosidase BglT
CGBLDEDM_00097	CDS	1560	malP_2		COG1263	PTS system maltose-specific EIICB component
CGBLDEDM_00098	CDS	1716				hypothetical protein
CGBLDEDM_00099	CDS	1392	xanP_1		COG2233	Xanthine permease XanP
CGBLDEDM_00100	CDS	1203	gltS		COG0786	Sodium/glutamate symporter
CGBLDEDM_00101	CDS	1512	glpK	2.7.1.30	COG0554	Glycerol kinase
CGBLDEDM_00102	CDS	852	glpF_1		COG0580	Glycerol uptake facilitator protein
CGBLDEDM_00103	CDS	240	zapB		COG3074	Cell division protein ZapB
CGBLDEDM_00104	CDS	990	sbp		COG1613	Sulfate-binding protein
CGBLDEDM_00105	CDS	765	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
CGBLDEDM_00106	CDS	1305				hypothetical protein
CGBLDEDM_00107	CDS	768	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
CGBLDEDM_00108	CDS	603				hypothetical protein
CGBLDEDM_00109	CDS	429				hypothetical protein
CGBLDEDM_00110	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
CGBLDEDM_00111	CDS	1011	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
CGBLDEDM_00112	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
CGBLDEDM_00113	CDS	690	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
CGBLDEDM_00114	CDS	2121	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
CGBLDEDM_00115	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
CGBLDEDM_00116	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
CGBLDEDM_00117	CDS	1677	ligB	6.5.1.2	COG0272	DNA ligase B
CGBLDEDM_00118	CDS	618				hypothetical protein
CGBLDEDM_00119	CDS	1251	clcB_1			Voltage-gated ClC-type chloride channel ClcB
CGBLDEDM_00120	CDS	1059	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
CGBLDEDM_00121	CDS	747			COG2513	putative protein
CGBLDEDM_00122	CDS	864				hypothetical protein
CGBLDEDM_00123	CDS	1701				hypothetical protein
CGBLDEDM_00124	CDS	966				hypothetical protein
CGBLDEDM_00125	CDS	918	ybhF_1		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
CGBLDEDM_00126	CDS	1095	ybhR_1		COG0842	putative multidrug ABC transporter permease YbhR
CGBLDEDM_00127	CDS	717	rph	2.7.7.56		Ribonuclease PH
CGBLDEDM_00128	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
CGBLDEDM_00129	CDS	597	slmA		COG1309	Nucleoid occlusion factor SlmA
CGBLDEDM_00130	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
CGBLDEDM_00131	CDS	1218	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
CGBLDEDM_00132	CDS	666				hypothetical protein
CGBLDEDM_00133	CDS	237	rpmB		COG0227	50S ribosomal protein L28
CGBLDEDM_00134	CDS	168	rpmG		COG0267	50S ribosomal protein L33
CGBLDEDM_00135	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
CGBLDEDM_00136	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
CGBLDEDM_00137	CDS	777				hypothetical protein
CGBLDEDM_00138	CDS	1275	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
CGBLDEDM_00139	CDS	990				hypothetical protein
CGBLDEDM_00140	CDS	1095	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
CGBLDEDM_00141	CDS	1128	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
CGBLDEDM_00142	CDS	1077	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
CGBLDEDM_00143	CDS	963				hypothetical protein
CGBLDEDM_00144	CDS	1080				hypothetical protein
CGBLDEDM_00145	CDS	1170				hypothetical protein
CGBLDEDM_00146	CDS	909				hypothetical protein
CGBLDEDM_00147	CDS	972	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
CGBLDEDM_00148	CDS	1020	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
CGBLDEDM_00149	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
CGBLDEDM_00150	CDS	1194	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
CGBLDEDM_00151	CDS	1026	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
CGBLDEDM_00152	CDS	789				hypothetical protein
CGBLDEDM_00153	CDS	948				hypothetical protein
CGBLDEDM_00154	CDS	1257	envC		COG4942	Murein hydrolase activator EnvC
CGBLDEDM_00155	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
CGBLDEDM_00156	CDS	432	yibN		COG0607	putative protein YibN
CGBLDEDM_00157	CDS	252	grxC		COG0695	Glutaredoxin 3
CGBLDEDM_00158	CDS	468	secB		COG1952	Protein-export protein SecB
CGBLDEDM_00159	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
CGBLDEDM_00160	CDS	822	cysE	2.3.1.30	COG1045	Serine acetyltransferase
CGBLDEDM_00161	CDS	474	trmL_1	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
CGBLDEDM_00162	CDS	1185	lldD_1	1.1.-.-	COG1304	L-lactate dehydrogenase
CGBLDEDM_00163	CDS	774	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
CGBLDEDM_00164	CDS	1656	lldP		COG1620	L-lactate permease
CGBLDEDM_00165	CDS	363	yibL			putative protein YibL
CGBLDEDM_00166	CDS	225	glgS_1			Surface composition regulator
CGBLDEDM_00167	CDS	597	mtlR		COG3722	Mannitol operon repressor
CGBLDEDM_00168	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
CGBLDEDM_00169	CDS	1908	mtlA		COG2213	PTS system mannitol-specific EIICBA component
CGBLDEDM_00170	CDS	369	yiaW_1			Inner membrane protein YiaW
CGBLDEDM_00171	CDS	1137	yibH_1		COG1566	Inner membrane protein YibH
CGBLDEDM_00172	CDS	609	yibF		COG0625	putative GST-like protein YibF
CGBLDEDM_00173	CDS	1389	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
CGBLDEDM_00174	CDS	1842	selB		COG3276	Selenocysteine-specific elongation factor
CGBLDEDM_00175	CDS	486	cooF		COG1142	Iron-sulfur protein
CGBLDEDM_00176	CDS	1257	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
CGBLDEDM_00177	CDS	2034	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
CGBLDEDM_00178	CDS	564				hypothetical protein
CGBLDEDM_00179	CDS	1179	xylR			Xylose operon regulatory protein
CGBLDEDM_00180	CDS	1182	xylH		COG4214	Xylose transport system permease protein XylH
CGBLDEDM_00181	CDS	1542	xylG_1	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
CGBLDEDM_00182	CDS	996	xylF		COG4213	D-xylose-binding periplasmic protein
CGBLDEDM_00183	CDS	1323	xylA_1	5.3.1.5		Xylose isomerase
CGBLDEDM_00184	CDS	1455	xylB_1	2.7.1.17	COG1070	Xylulose kinase
CGBLDEDM_00185	CDS	372	yiaB		COG4682	Inner membrane protein YiaB
CGBLDEDM_00186	CDS	444	yiaA		COG4682	Inner membrane protein YiaA
CGBLDEDM_00187	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
CGBLDEDM_00188	CDS	303				hypothetical protein
CGBLDEDM_00189	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
CGBLDEDM_00190	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
CGBLDEDM_00191	misc_RNA	70				STnc370
CGBLDEDM_00192	misc_RNA	151				sok
CGBLDEDM_00193	CDS	213				hypothetical protein
CGBLDEDM_00194	CDS	1620	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
CGBLDEDM_00195	misc_RNA	422				cspA
CGBLDEDM_00196	CDS	213	cspA		COG1278	Cold shock protein CspA
CGBLDEDM_00197	CDS	291				hypothetical protein
CGBLDEDM_00198	CDS	1356	pcaK_2		COG0477	4-hydroxybenzoate transporter PcaK
CGBLDEDM_00199	CDS	711				hypothetical protein
CGBLDEDM_00200	CDS	972	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
CGBLDEDM_00201	CDS	1281	ttuB_1			Putative tartrate transporter
CGBLDEDM_00202	CDS	936	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
CGBLDEDM_00203	CDS	750				hypothetical protein
CGBLDEDM_00204	CDS	1017	kdgR_1		COG1609	HTH-type transcriptional regulator KdgR
CGBLDEDM_00205	CDS	663	yiaD		COG2885	putative lipoprotein YiaD
CGBLDEDM_00206	CDS	2331	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
CGBLDEDM_00207	CDS	441	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
CGBLDEDM_00208	CDS	582	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
CGBLDEDM_00209	CDS	645				hypothetical protein
CGBLDEDM_00210	CDS	1206	yhjX			putative MFS-type transporter YhjX
CGBLDEDM_00211	CDS	1674	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
CGBLDEDM_00212	CDS	1185				hypothetical protein
CGBLDEDM_00213	tRNA	77				tRNA-Pro(cgg)
CGBLDEDM_00214	misc_RNA	134				RtT
CGBLDEDM_00215	misc_RNA	134				RtT
CGBLDEDM_00216	CDS	1608	dppA_1		COG0747	Periplasmic dipeptide transport protein
CGBLDEDM_00217	CDS	1020	dppB_1		COG0601	Dipeptide transport system permease protein DppB
CGBLDEDM_00218	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
CGBLDEDM_00219	CDS	984	dppD_1		COG0444	Dipeptide transport ATP-binding protein DppD
CGBLDEDM_00220	CDS	1014	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
CGBLDEDM_00221	CDS	540				hypothetical protein
CGBLDEDM_00222	CDS	804	bcsQ_1			Cellulose biosynthesis protein BcsQ
CGBLDEDM_00223	CDS	2034	acsAB			Cellulose synthase 1
CGBLDEDM_00224	CDS	2436	bcsB_1			Cyclic di-GMP-binding protein
CGBLDEDM_00225	CDS	4053	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
CGBLDEDM_00226	CDS	477				hypothetical protein
CGBLDEDM_00227	CDS	1002		3.2.1.4		Endoglucanase
CGBLDEDM_00228	CDS	1680	bcsG			Cellulose biosynthesis protein BcsG
CGBLDEDM_00229	CDS	198				hypothetical protein
CGBLDEDM_00230	CDS	1554	bcsE			Cyclic di-GMP binding protein BcsE
CGBLDEDM_00231	CDS	189	yhjR			Protein YhjR
CGBLDEDM_00232	CDS	732	bcsQ_2			Cellulose biosynthesis protein BcsQ
CGBLDEDM_00233	CDS	2619	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
CGBLDEDM_00234	CDS	2325	bcsB_2			Cyclic di-GMP-binding protein
CGBLDEDM_00235	CDS	1110	bcsZ	3.2.1.4	COG3405	Endoglucanase
CGBLDEDM_00236	CDS	3480	bcsC		COG0457	Cellulose synthase operon protein C
CGBLDEDM_00237	CDS	2007	pdeK	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeK
CGBLDEDM_00238	CDS	1287	dctA_1		COG1301	Aerobic C4-dicarboxylate transport protein
CGBLDEDM_00239	CDS	1503	yhjJ		COG0612	Protein YhjJ
CGBLDEDM_00240	CDS	930	kdgK_2	2.7.1.45		2-dehydro-3-deoxygluconokinase
CGBLDEDM_00241	CDS	2052				hypothetical protein
CGBLDEDM_00242	CDS	1323	yhjE			Inner membrane metabolite transport protein YhjE
CGBLDEDM_00243	CDS	1032	yhjD		COG1295	Inner membrane protein YhjD
CGBLDEDM_00244	CDS	900	dmlR_2			HTH-type transcriptional regulator DmlR
CGBLDEDM_00245	CDS	759	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
CGBLDEDM_00246	CDS	534				hypothetical protein
CGBLDEDM_00247	CDS	1653	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
CGBLDEDM_00248	CDS	1194				hypothetical protein
CGBLDEDM_00249	CDS	624	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GstB
CGBLDEDM_00250	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
CGBLDEDM_00251	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
CGBLDEDM_00252	CDS	1272				hypothetical protein
CGBLDEDM_00253	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
CGBLDEDM_00254	CDS	753	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
CGBLDEDM_00255	CDS	1473	dtpB		COG3104	Dipeptide and tripeptide permease B
CGBLDEDM_00256	CDS	438	uspA		COG0589	Universal stress protein A
CGBLDEDM_00257	CDS	336	uspB			Universal stress protein B
CGBLDEDM_00258	CDS	1497	pitA		COG0306	Low-affinity inorganic phosphate transporter 1
CGBLDEDM_00259	CDS	1149			COG2081	putative protein
CGBLDEDM_00260	CDS	1014			COG2239	Magnesium transporter MgtE
CGBLDEDM_00261	misc_RNA	182				ykoK
CGBLDEDM_00262	CDS	399	nikR		COG0864	Nickel-responsive regulator
CGBLDEDM_00263	CDS	792	nikE	7.2.2.11		Nickel import ATP-binding protein NikE
CGBLDEDM_00264	CDS	765	nikD	7.2.2.11		Nickel import ATP-binding protein NikD
CGBLDEDM_00265	CDS	834	nikC		COG1173	Nickel transport system permease protein NikC
CGBLDEDM_00266	CDS	945	nikB		COG0601	Nickel transport system permease protein NikB
CGBLDEDM_00267	CDS	1569	nikA		COG0747	Nickel-binding periplasmic protein
CGBLDEDM_00268	CDS	861	allS			HTH-type transcriptional activator AllS
CGBLDEDM_00269	CDS	507	padC	4.1.1.102	COG3479	Phenolic acid decarboxylase PadC
CGBLDEDM_00270	CDS	1140	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
CGBLDEDM_00271	CDS	984	arnC_1	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
CGBLDEDM_00272	CDS	1986	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
CGBLDEDM_00273	CDS	903	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
CGBLDEDM_00274	CDS	1656	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
CGBLDEDM_00275	CDS	339	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
CGBLDEDM_00276	CDS	381	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
CGBLDEDM_00277	CDS	1050	yhhT_1		COG0628	Putative transport protein YhhT
CGBLDEDM_00278	CDS	1221	yhhS_1			putative MFS-type transporter YhhS
CGBLDEDM_00279	CDS	558				hypothetical protein
CGBLDEDM_00280	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
CGBLDEDM_00281	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
CGBLDEDM_00282	CDS	2211	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
CGBLDEDM_00283	CDS	627				hypothetical protein
CGBLDEDM_00284	CDS	351				hypothetical protein
CGBLDEDM_00285	CDS	276				hypothetical protein
CGBLDEDM_00286	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
CGBLDEDM_00287	CDS	1524	ftsY		COG0552	Signal recognition particle receptor FtsY
CGBLDEDM_00288	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
CGBLDEDM_00289	CDS	1056	ftsX		COG2177	Cell division protein FtsX
CGBLDEDM_00290	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
CGBLDEDM_00291	CDS	1524	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
CGBLDEDM_00292	CDS	1266	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
CGBLDEDM_00293	CDS	1005				IS110 family transposase IS5075
CGBLDEDM_00294	CDS	1266				hypothetical protein
CGBLDEDM_00295	CDS	1098	livJ_1		COG0683	Leu/Ile/Val-binding protein
CGBLDEDM_00296	CDS	384	panM			PanD regulatory factor
CGBLDEDM_00297	CDS	1110	livK		COG0683	Leucine-specific-binding protein
CGBLDEDM_00298	CDS	927	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
CGBLDEDM_00299	CDS	1278				hypothetical protein
CGBLDEDM_00300	CDS	768	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
CGBLDEDM_00301	CDS	714	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
CGBLDEDM_00302	CDS	222				hypothetical protein
CGBLDEDM_00303	CDS	369				hypothetical protein
CGBLDEDM_00304	CDS	1317	ugpB_1		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
CGBLDEDM_00305	CDS	888	ugpA_1		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
CGBLDEDM_00306	CDS	846				hypothetical protein
CGBLDEDM_00307	CDS	1071	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
CGBLDEDM_00308	CDS	741	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
CGBLDEDM_00309	CDS	321	yhhA			putative protein YhhA
CGBLDEDM_00310	CDS	1746	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
CGBLDEDM_00311	CDS	489	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
CGBLDEDM_00312	misc_RNA	66				RyhB
CGBLDEDM_00313	CDS	654				hypothetical protein
CGBLDEDM_00314	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
CGBLDEDM_00315	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
CGBLDEDM_00316	CDS	996	gntR_1			HTH-type transcriptional regulator GntR
CGBLDEDM_00317	CDS	531	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
CGBLDEDM_00318	CDS	1266	gntU		COG2610	Low-affinity gluconate transporter
CGBLDEDM_00319	CDS	1107	asd_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
CGBLDEDM_00320	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
CGBLDEDM_00321	CDS	1977	glgX	3.2.1.196	COG1523	Glycogen debranching enzyme
CGBLDEDM_00322	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
CGBLDEDM_00323	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
