locus_tag	ftype	length_bp	gene	EC_number	COG	product
DEIMIIIJ_00041	gene	360				
DEIMIIIJ_00041	CDS	360				hypothetical protein
DEIMIIIJ_00042	gene	1194	nepI_1			
DEIMIIIJ_00042	CDS	1194	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
DEIMIIIJ_00043	gene	810	phnX			
DEIMIIIJ_00043	CDS	810	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
DEIMIIIJ_00044	gene	1104	phnW			
DEIMIIIJ_00044	CDS	1104	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
DEIMIIIJ_00045	gene	720	phnR			
DEIMIIIJ_00045	CDS	720	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
DEIMIIIJ_00046	gene	1014	phnS			
DEIMIIIJ_00046	CDS	1014	phnS		COG1840	Putative 2-aminoethylphosphonate-binding periplasmic protein
DEIMIIIJ_00047	gene	1113	phnT			
DEIMIIIJ_00047	CDS	1113	phnT		COG3842	Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
DEIMIIIJ_00048	gene	861	phnU			
DEIMIIIJ_00048	CDS	861	phnU		COG0555	Putative 2-aminoethylphosphonate transport system permease protein PhnU
DEIMIIIJ_00049	gene	798	phnV			
DEIMIIIJ_00049	CDS	798	phnV		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
DEIMIIIJ_00050	gene	1380	lamB_1			
DEIMIIIJ_00050	CDS	1380	lamB_1		COG4580	Maltoporin
DEIMIIIJ_00051	gene	303	chbA_1			
DEIMIIIJ_00051	CDS	303	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
DEIMIIIJ_00052	gene	1323	licC_1			
DEIMIIIJ_00052	CDS	1323	licC_1		COG1455	Lichenan permease IIC component
DEIMIIIJ_00053	gene	315	celA_1			
DEIMIIIJ_00053	CDS	315	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
DEIMIIIJ_00054	gene	945				
DEIMIIIJ_00054	CDS	945			COG1609	HTH-type transcriptional regulator
DEIMIIIJ_00055	gene	1371	pcaK_1			
DEIMIIIJ_00055	CDS	1371	pcaK_1		COG0477	4-hydroxybenzoate transporter PcaK
DEIMIIIJ_00056	gene	1263	galA			
DEIMIIIJ_00056	CDS	1263	galA	1.13.11.57		Gallate dioxygenase
DEIMIIIJ_00057	gene	1227	hdfR_1			
DEIMIIIJ_00057	CDS	1227	hdfR_1			HTH-type transcriptional regulator HdfR
DEIMIIIJ_00058	gene	741	galB			
DEIMIIIJ_00058	CDS	741	galB	4.2.1.83	COG2120	4-oxalmesaconate hydratase
DEIMIIIJ_00059	gene	714	galC			
DEIMIIIJ_00059	CDS	714	galC	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipic acid aldolase
DEIMIIIJ_00060	gene	1086	galD			
DEIMIIIJ_00060	CDS	1086	galD	5.3.2.8	COG2828	4-oxalomesaconate tautomerase
DEIMIIIJ_00061	gene	864				
DEIMIIIJ_00061	CDS	864				hypothetical protein
DEIMIIIJ_00062	gene	291				
DEIMIIIJ_00062	CDS	291				hypothetical protein
DEIMIIIJ_00063	gene	903	yicL			
DEIMIIIJ_00063	CDS	903	yicL		COG0697	putative inner membrane transporter YicL
DEIMIIIJ_00064	gene	1434	murP			
DEIMIIIJ_00064	CDS	1434	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
DEIMIIIJ_00065	gene	903	murQ_1			
DEIMIIIJ_00065	CDS	903	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
DEIMIIIJ_00066	gene	1164	bcr_1			
DEIMIIIJ_00066	CDS	1164	bcr_1			Bicyclomycin resistance protein
DEIMIIIJ_00067	gene	1365	oprM_1			
DEIMIIIJ_00067	CDS	1365	oprM_1		COG1538	Outer membrane protein OprM
DEIMIIIJ_00068	gene	3108	mexB			
DEIMIIIJ_00068	CDS	3108	mexB		COG0841	Multidrug resistance protein MexB
DEIMIIIJ_00069	gene	1125	mexA			
DEIMIIIJ_00069	CDS	1125	mexA			Multidrug resistance protein MexA
DEIMIIIJ_00070	gene	417				
DEIMIIIJ_00070	CDS	417		2.3.1.-		Acetyltransferase
DEIMIIIJ_00071	gene	486				
DEIMIIIJ_00071	CDS	486				hypothetical protein
DEIMIIIJ_00072	gene	648	betI_1			
DEIMIIIJ_00072	CDS	648	betI_1			HTH-type transcriptional regulator BetI
DEIMIIIJ_00073	gene	1494	bmr3			
DEIMIIIJ_00073	CDS	1494	bmr3			Multidrug resistance protein 3
DEIMIIIJ_00074	gene	915	dmlR_1			
DEIMIIIJ_00074	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
DEIMIIIJ_00075	gene	627				
DEIMIIIJ_00075	CDS	627				hypothetical protein
DEIMIIIJ_00076	gene	471				
DEIMIIIJ_00076	CDS	471				hypothetical protein
DEIMIIIJ_00077	gene	537				
DEIMIIIJ_00077	CDS	537				hypothetical protein
DEIMIIIJ_00078	gene	906	mtrA			
DEIMIIIJ_00078	CDS	906	mtrA			HTH-type transcriptional regulator MtrA
DEIMIIIJ_00079	gene	810	nlpA			
DEIMIIIJ_00079	CDS	810	nlpA		COG1464	Lipoprotein 28
DEIMIIIJ_00080	gene	855				
DEIMIIIJ_00080	CDS	855				hypothetical protein
DEIMIIIJ_00081	gene	561	rppH_1			
DEIMIIIJ_00081	CDS	561	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
DEIMIIIJ_00082	gene	780				
DEIMIIIJ_00082	CDS	780				hypothetical protein
DEIMIIIJ_00083	gene	954	cdhR			
DEIMIIIJ_00083	CDS	954	cdhR		COG4977	HTH-type transcriptional regulator CdhR
DEIMIIIJ_00084	gene	1050	yahK			
DEIMIIIJ_00084	CDS	1050	yahK	1.1.1.2	COG1064	Aldehyde reductase YahK
DEIMIIIJ_00085	gene	699	iprA_1			
DEIMIIIJ_00085	CDS	699	iprA_1			Inhibitor of hydrogen peroxide resistance
DEIMIIIJ_00086	gene	291	ycnE			
DEIMIIIJ_00086	CDS	291	ycnE	1.-.-.-	COG1359	Putative monooxygenase YcnE
DEIMIIIJ_00087	gene	1008				
DEIMIIIJ_00087	CDS	1008				Zinc-type alcohol dehydrogenase-like protein
DEIMIIIJ_00088	gene	468				
DEIMIIIJ_00088	CDS	468				hypothetical protein
DEIMIIIJ_00089	gene	95				
DEIMIIIJ_00089	tRNA	95				tRNA-SeC(tca)
DEIMIIIJ_00090	gene	1395	yicJ_1			
DEIMIIIJ_00090	CDS	1395	yicJ_1		COG2211	Inner membrane symporter YicJ
DEIMIIIJ_00091	gene	2319	yicI			
DEIMIIIJ_00091	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
DEIMIIIJ_00092	gene	723				
DEIMIIIJ_00092	CDS	723				hypothetical protein
DEIMIIIJ_00093	gene	1380	bglT			
DEIMIIIJ_00093	CDS	1380	bglT	3.2.1.86	COG1486	6-phospho-beta-glucosidase BglT
DEIMIIIJ_00094	gene	1560	malP_2			
DEIMIIIJ_00094	CDS	1560	malP_2		COG1263	PTS system maltose-specific EIICB component
DEIMIIIJ_00095	gene	1716				
DEIMIIIJ_00095	CDS	1716				hypothetical protein
DEIMIIIJ_00096	gene	1392	xanP_1			
DEIMIIIJ_00096	CDS	1392	xanP_1		COG2233	Xanthine permease XanP
DEIMIIIJ_00097	gene	1203	gltS			
DEIMIIIJ_00097	CDS	1203	gltS		COG0786	Sodium/glutamate symporter
DEIMIIIJ_00098	gene	1512	glpK			
DEIMIIIJ_00098	CDS	1512	glpK	2.7.1.30	COG0554	Glycerol kinase
DEIMIIIJ_00099	gene	852	glpF_1			
DEIMIIIJ_00099	CDS	852	glpF_1		COG0580	Glycerol uptake facilitator protein
DEIMIIIJ_00100	gene	240	zapB			
DEIMIIIJ_00100	CDS	240	zapB		COG3074	Cell division protein ZapB
DEIMIIIJ_00101	gene	990	sbp			
DEIMIIIJ_00101	CDS	990	sbp		COG1613	Sulfate-binding protein
DEIMIIIJ_00102	gene	765	cdh			
DEIMIIIJ_00102	CDS	765	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
DEIMIIIJ_00103	gene	1305				
DEIMIIIJ_00103	CDS	1305				hypothetical protein
DEIMIIIJ_00104	gene	768	tpiA			
DEIMIIIJ_00104	CDS	768	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
DEIMIIIJ_00105	gene	603				
DEIMIIIJ_00105	CDS	603				hypothetical protein
DEIMIIIJ_00106	gene	429				
DEIMIIIJ_00106	CDS	429				hypothetical protein
DEIMIIIJ_00107	gene	747	fpr			
DEIMIIIJ_00107	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
DEIMIIIJ_00108	gene	1011	glpX			
DEIMIIIJ_00108	CDS	1011	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
DEIMIIIJ_00109	gene	2082	recG			
DEIMIIIJ_00109	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
DEIMIIIJ_00110	gene	690	trmH			
DEIMIIIJ_00110	CDS	690	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
DEIMIIIJ_00111	gene	2121	spoT			
DEIMIIIJ_00111	CDS	2121	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
DEIMIIIJ_00112	gene	276	rpoZ			
DEIMIIIJ_00112	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
DEIMIIIJ_00113	gene	624	gmk			
DEIMIIIJ_00113	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
DEIMIIIJ_00114	gene	1677	ligB			
DEIMIIIJ_00114	CDS	1677	ligB	6.5.1.2	COG0272	DNA ligase B
DEIMIIIJ_00115	gene	618				
DEIMIIIJ_00115	CDS	618				hypothetical protein
DEIMIIIJ_00116	gene	1251	clcB_1			
DEIMIIIJ_00116	CDS	1251	clcB_1			Voltage-gated ClC-type chloride channel ClcB
DEIMIIIJ_00117	gene	1059	ada_1			
DEIMIIIJ_00117	CDS	1059	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
DEIMIIIJ_00118	gene	747				
DEIMIIIJ_00118	CDS	747			COG2513	putative protein
DEIMIIIJ_00119	gene	864				
DEIMIIIJ_00119	CDS	864				hypothetical protein
DEIMIIIJ_00120	gene	1701				
DEIMIIIJ_00120	CDS	1701				hypothetical protein
DEIMIIIJ_00121	gene	966				
DEIMIIIJ_00121	CDS	966				hypothetical protein
DEIMIIIJ_00122	gene	918	ybhF_1			
DEIMIIIJ_00122	CDS	918	ybhF_1		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
DEIMIIIJ_00123	gene	1095	ybhR_1			
DEIMIIIJ_00123	CDS	1095	ybhR_1		COG0842	putative multidrug ABC transporter permease YbhR
DEIMIIIJ_00124	gene	717	rph			
DEIMIIIJ_00124	CDS	717	rph	2.7.7.56		Ribonuclease PH
DEIMIIIJ_00125	gene	642	pyrE			
DEIMIIIJ_00125	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
DEIMIIIJ_00126	gene	597	slmA			
DEIMIIIJ_00126	CDS	597	slmA		COG1309	Nucleoid occlusion factor SlmA
DEIMIIIJ_00127	gene	459	dut			
DEIMIIIJ_00127	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
DEIMIIIJ_00128	gene	1218	coaBC			
DEIMIIIJ_00128	CDS	1218	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
DEIMIIIJ_00129	gene	666				
DEIMIIIJ_00129	CDS	666				hypothetical protein
DEIMIIIJ_00130	gene	237	rpmB			
DEIMIIIJ_00130	CDS	237	rpmB		COG0227	50S ribosomal protein L28
DEIMIIIJ_00131	gene	168	rpmG			
DEIMIIIJ_00131	CDS	168	rpmG		COG0267	50S ribosomal protein L33
DEIMIIIJ_00132	gene	810	mutM			
DEIMIIIJ_00132	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
DEIMIIIJ_00133	gene	480	coaD			
DEIMIIIJ_00133	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
DEIMIIIJ_00134	gene	777				
DEIMIIIJ_00134	CDS	777				hypothetical protein
DEIMIIIJ_00135	gene	1275	waaA			
DEIMIIIJ_00135	CDS	1275	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
DEIMIIIJ_00136	gene	990				
DEIMIIIJ_00136	CDS	990				hypothetical protein
DEIMIIIJ_00137	gene	1095	pglJ			
DEIMIIIJ_00137	CDS	1095	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
DEIMIIIJ_00138	gene	1128	rfaG			
DEIMIIIJ_00138	CDS	1128	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
DEIMIIIJ_00139	gene	1077	rfaQ			
DEIMIIIJ_00139	CDS	1077	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
DEIMIIIJ_00140	gene	963				
DEIMIIIJ_00140	CDS	963				hypothetical protein
DEIMIIIJ_00141	gene	1080				
DEIMIIIJ_00141	CDS	1080				hypothetical protein
DEIMIIIJ_00142	gene	1170				
DEIMIIIJ_00142	CDS	1170				hypothetical protein
DEIMIIIJ_00143	gene	909				
DEIMIIIJ_00143	CDS	909				hypothetical protein
DEIMIIIJ_00144	gene	972	rfaC			
DEIMIIIJ_00144	CDS	972	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
DEIMIIIJ_00145	gene	1020	rfaF			
DEIMIIIJ_00145	CDS	1020	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
DEIMIIIJ_00146	gene	933	hldD			
DEIMIIIJ_00146	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
DEIMIIIJ_00147	gene	1194	kbl			
DEIMIIIJ_00147	CDS	1194	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
DEIMIIIJ_00148	gene	1026	tdh			
DEIMIIIJ_00148	CDS	1026	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
DEIMIIIJ_00149	gene	789				
DEIMIIIJ_00149	CDS	789				hypothetical protein
DEIMIIIJ_00150	gene	948				
DEIMIIIJ_00150	CDS	948				hypothetical protein
DEIMIIIJ_00151	gene	1257	envC			
DEIMIIIJ_00151	CDS	1257	envC		COG4942	Murein hydrolase activator EnvC
DEIMIIIJ_00152	gene	1545	gpmI			
DEIMIIIJ_00152	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
DEIMIIIJ_00153	gene	432	yibN			
DEIMIIIJ_00153	CDS	432	yibN		COG0607	putative protein YibN
DEIMIIIJ_00154	gene	252	grxC			
DEIMIIIJ_00154	CDS	252	grxC		COG0695	Glutaredoxin 3
DEIMIIIJ_00155	gene	468	secB			
DEIMIIIJ_00155	CDS	468	secB		COG1952	Protein-export protein SecB
DEIMIIIJ_00156	gene	1020	gpsA			
DEIMIIIJ_00156	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
DEIMIIIJ_00157	gene	822	cysE			
DEIMIIIJ_00157	CDS	822	cysE	2.3.1.30	COG1045	Serine acetyltransferase
DEIMIIIJ_00158	gene	474	trmL_1			
DEIMIIIJ_00158	CDS	474	trmL_1	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
DEIMIIIJ_00159	gene	1185	lldD_1			
DEIMIIIJ_00159	CDS	1185	lldD_1	1.1.-.-	COG1304	L-lactate dehydrogenase
DEIMIIIJ_00160	gene	774	lldR_1			
DEIMIIIJ_00160	CDS	774	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
DEIMIIIJ_00161	gene	1656	lldP			
DEIMIIIJ_00161	CDS	1656	lldP		COG1620	L-lactate permease
DEIMIIIJ_00162	gene	363	yibL			
DEIMIIIJ_00162	CDS	363	yibL			putative protein YibL
DEIMIIIJ_00163	gene	225	glgS_1			
DEIMIIIJ_00163	CDS	225	glgS_1			Surface composition regulator
DEIMIIIJ_00164	gene	597	mtlR			
DEIMIIIJ_00164	CDS	597	mtlR		COG3722	Mannitol operon repressor
DEIMIIIJ_00165	gene	1149	mtlD			
DEIMIIIJ_00165	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
DEIMIIIJ_00166	gene	1908	mtlA			
DEIMIIIJ_00166	CDS	1908	mtlA		COG2213	PTS system mannitol-specific EIICBA component
DEIMIIIJ_00167	gene	369	yiaW_1			
DEIMIIIJ_00167	CDS	369	yiaW_1			Inner membrane protein YiaW
DEIMIIIJ_00168	gene	1137	yibH_1			
DEIMIIIJ_00168	CDS	1137	yibH_1		COG1566	Inner membrane protein YibH
DEIMIIIJ_00169	gene	609	yibF			
DEIMIIIJ_00169	CDS	609	yibF		COG0625	putative GST-like protein YibF
DEIMIIIJ_00170	gene	1389	selA			
DEIMIIIJ_00170	CDS	1389	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
DEIMIIIJ_00171	gene	1842	selB			
DEIMIIIJ_00171	CDS	1842	selB		COG3276	Selenocysteine-specific elongation factor
DEIMIIIJ_00172	gene	486	cooF			
DEIMIIIJ_00172	CDS	486	cooF		COG1142	Iron-sulfur protein
DEIMIIIJ_00173	gene	1257	avtA			
DEIMIIIJ_00173	CDS	1257	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
DEIMIIIJ_00174	gene	2034	malS			
DEIMIIIJ_00174	CDS	2034	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
DEIMIIIJ_00175	gene	564				
DEIMIIIJ_00175	CDS	564				hypothetical protein
DEIMIIIJ_00176	gene	1179	xylR			
DEIMIIIJ_00176	CDS	1179	xylR			Xylose operon regulatory protein
DEIMIIIJ_00177	gene	1182	xylH			
DEIMIIIJ_00177	CDS	1182	xylH		COG4214	Xylose transport system permease protein XylH
DEIMIIIJ_00178	gene	1542	xylG_1			
DEIMIIIJ_00178	CDS	1542	xylG_1	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
DEIMIIIJ_00179	gene	996	xylF			
DEIMIIIJ_00179	CDS	996	xylF		COG4213	D-xylose-binding periplasmic protein
DEIMIIIJ_00180	gene	1323	xylA_1			
DEIMIIIJ_00180	CDS	1323	xylA_1	5.3.1.5		Xylose isomerase
DEIMIIIJ_00181	gene	1455	xylB_1			
DEIMIIIJ_00181	CDS	1455	xylB_1	2.7.1.17	COG1070	Xylulose kinase
DEIMIIIJ_00182	gene	372	yiaB			
DEIMIIIJ_00182	CDS	372	yiaB		COG4682	Inner membrane protein YiaB
DEIMIIIJ_00183	gene	444	yiaA			
DEIMIIIJ_00183	CDS	444	yiaA		COG4682	Inner membrane protein YiaA
DEIMIIIJ_00184	gene	996	wecH			
DEIMIIIJ_00184	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
DEIMIIIJ_00185	gene	303				
DEIMIIIJ_00185	CDS	303				hypothetical protein
DEIMIIIJ_00186	gene	912	glyQ			
DEIMIIIJ_00186	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
DEIMIIIJ_00187	gene	2070	glyS			
DEIMIIIJ_00187	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
DEIMIIIJ_00188	gene	213				
DEIMIIIJ_00188	CDS	213				hypothetical protein
DEIMIIIJ_00189	gene	1620	ettA_1			
DEIMIIIJ_00189	CDS	1620	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
DEIMIIIJ_00190	gene	213	cspA			
DEIMIIIJ_00190	CDS	213	cspA		COG1278	Cold shock protein CspA
DEIMIIIJ_00191	gene	291				
DEIMIIIJ_00191	CDS	291				hypothetical protein
DEIMIIIJ_00192	gene	1356	pcaK_2			
DEIMIIIJ_00192	CDS	1356	pcaK_2		COG0477	4-hydroxybenzoate transporter PcaK
DEIMIIIJ_00193	gene	711				
DEIMIIIJ_00193	CDS	711				hypothetical protein
DEIMIIIJ_00194	gene	972	ghrB			
DEIMIIIJ_00194	CDS	972	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
DEIMIIIJ_00195	gene	1281	ttuB_1			
DEIMIIIJ_00195	CDS	1281	ttuB_1			Putative tartrate transporter
DEIMIIIJ_00196	gene	936	kdgK_1			
DEIMIIIJ_00196	CDS	936	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
DEIMIIIJ_00197	gene	750				
DEIMIIIJ_00197	CDS	750				hypothetical protein
DEIMIIIJ_00198	gene	1017	kdgR_1			
DEIMIIIJ_00198	CDS	1017	kdgR_1		COG1609	HTH-type transcriptional regulator KdgR
DEIMIIIJ_00199	gene	663	yiaD			
DEIMIIIJ_00199	CDS	663	yiaD		COG2885	putative lipoprotein YiaD
DEIMIIIJ_00200	gene	2331	bisC			
DEIMIIIJ_00200	CDS	2331	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
DEIMIIIJ_00201	gene	441	yiaC			
DEIMIIIJ_00201	CDS	441	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
DEIMIIIJ_00202	gene	582	tag			
DEIMIIIJ_00202	CDS	582	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
DEIMIIIJ_00203	gene	645				
DEIMIIIJ_00203	CDS	645				hypothetical protein
DEIMIIIJ_00204	gene	1206	yhjX			
DEIMIIIJ_00204	CDS	1206	yhjX			putative MFS-type transporter YhjX
DEIMIIIJ_00205	gene	1674	eptB			
DEIMIIIJ_00205	CDS	1674	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
DEIMIIIJ_00206	gene	1185				
DEIMIIIJ_00206	CDS	1185				hypothetical protein
DEIMIIIJ_00207	gene	77				
DEIMIIIJ_00207	tRNA	77				tRNA-Pro(cgg)
DEIMIIIJ_00208	gene	1608	dppA_1			
DEIMIIIJ_00208	CDS	1608	dppA_1		COG0747	Periplasmic dipeptide transport protein
