locus_tag	ftype	length_bp	gene	EC_number	COG	product
PLJHALKC_00091	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
PLJHALKC_00092	gene	723				
PLJHALKC_00092	CDS	723				hypothetical protein
PLJHALKC_00093	gene	1380	pagL			
PLJHALKC_00093	CDS	1380	pagL	3.2.1.-	COG1486	Phospho-alpha-glucosidase PagL
PLJHALKC_00094	gene	1560	malP_2			
PLJHALKC_00094	CDS	1560	malP_2		COG1263	PTS system maltose-specific EIICB component
PLJHALKC_00095	gene	1716				
PLJHALKC_00095	CDS	1716				hypothetical protein
PLJHALKC_00096	gene	1392	xanP_1			
PLJHALKC_00096	CDS	1392	xanP_1		COG2233	Xanthine permease XanP
PLJHALKC_00097	gene	1203	gltS			
PLJHALKC_00097	CDS	1203	gltS		COG0786	Sodium/glutamate symporter
PLJHALKC_00098	gene	1512	glpK			
PLJHALKC_00098	CDS	1512	glpK	2.7.1.30	COG0554	Glycerol kinase
PLJHALKC_00099	gene	852	glpF_1			
PLJHALKC_00099	CDS	852	glpF_1		COG0580	Glycerol uptake facilitator protein
PLJHALKC_00100	gene	240	zapB			
PLJHALKC_00100	CDS	240	zapB		COG3074	Cell division protein ZapB
PLJHALKC_00101	gene	990	sbp			
PLJHALKC_00101	CDS	990	sbp		COG1613	Sulfate-binding protein
PLJHALKC_00102	gene	765	cdh			
PLJHALKC_00102	CDS	765	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
PLJHALKC_00103	gene	1305				
PLJHALKC_00103	CDS	1305				hypothetical protein
PLJHALKC_00104	gene	768	tpiA			
PLJHALKC_00104	CDS	768	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
PLJHALKC_00105	gene	603				
PLJHALKC_00105	CDS	603				hypothetical protein
PLJHALKC_00106	gene	429				
PLJHALKC_00106	CDS	429				hypothetical protein
PLJHALKC_00107	gene	747	fpr			
PLJHALKC_00107	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
PLJHALKC_00108	gene	1011	glpX			
PLJHALKC_00108	CDS	1011	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
PLJHALKC_00109	gene	2082	recG			
PLJHALKC_00109	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
PLJHALKC_00110	gene	690	trmH			
PLJHALKC_00110	CDS	690	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
PLJHALKC_00111	gene	2121	spoT			
PLJHALKC_00111	CDS	2121	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
PLJHALKC_00112	gene	276	rpoZ			
PLJHALKC_00112	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
PLJHALKC_00113	gene	624	gmk			
PLJHALKC_00113	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
PLJHALKC_00114	gene	1677	ligB			
PLJHALKC_00114	CDS	1677	ligB	6.5.1.2	COG0272	DNA ligase B
PLJHALKC_00115	gene	618				
PLJHALKC_00115	CDS	618				hypothetical protein
PLJHALKC_00116	gene	1251	clcB_1			
PLJHALKC_00116	CDS	1251	clcB_1			Voltage-gated ClC-type chloride channel ClcB
PLJHALKC_00117	gene	1059	ada_1			
PLJHALKC_00117	CDS	1059	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
PLJHALKC_00118	gene	747				
PLJHALKC_00118	CDS	747			COG2513	putative protein
PLJHALKC_00119	gene	864				
PLJHALKC_00119	CDS	864				hypothetical protein
PLJHALKC_00120	gene	1701				
PLJHALKC_00120	CDS	1701				hypothetical protein
PLJHALKC_00121	gene	966				
PLJHALKC_00121	CDS	966				hypothetical protein
PLJHALKC_00122	gene	918	ybhF_1			
PLJHALKC_00122	CDS	918	ybhF_1		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
PLJHALKC_00123	gene	1095	ybhR_1			
PLJHALKC_00123	CDS	1095	ybhR_1		COG0842	putative multidrug ABC transporter permease YbhR
PLJHALKC_00124	gene	717	rph			
PLJHALKC_00124	CDS	717	rph	2.7.7.56		Ribonuclease PH
PLJHALKC_00125	gene	642	pyrE			
PLJHALKC_00125	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
PLJHALKC_00126	gene	597	slmA			
PLJHALKC_00126	CDS	597	slmA		COG1309	Nucleoid occlusion factor SlmA
PLJHALKC_00127	gene	459	dut			
PLJHALKC_00127	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
PLJHALKC_00128	gene	1218	coaBC			
PLJHALKC_00128	CDS	1218	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
PLJHALKC_00129	gene	666				
PLJHALKC_00129	CDS	666				hypothetical protein
PLJHALKC_00130	gene	237	rpmB			
PLJHALKC_00130	CDS	237	rpmB		COG0227	50S ribosomal protein L28
PLJHALKC_00131	gene	168	rpmG			
PLJHALKC_00131	CDS	168	rpmG		COG0267	50S ribosomal protein L33
PLJHALKC_00132	gene	810	mutM			
PLJHALKC_00132	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
PLJHALKC_00133	gene	480	coaD			
PLJHALKC_00133	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
PLJHALKC_00134	gene	777				
PLJHALKC_00134	CDS	777				hypothetical protein
PLJHALKC_00135	gene	1275	waaA			
PLJHALKC_00135	CDS	1275	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
PLJHALKC_00136	gene	990				
PLJHALKC_00136	CDS	990				hypothetical protein
PLJHALKC_00137	gene	1095	pglJ			
PLJHALKC_00137	CDS	1095	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
PLJHALKC_00138	gene	1128	rfaG			
PLJHALKC_00138	CDS	1128	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
PLJHALKC_00139	gene	1077	rfaQ			
PLJHALKC_00139	CDS	1077	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
PLJHALKC_00140	gene	963				
PLJHALKC_00140	CDS	963				hypothetical protein
PLJHALKC_00141	gene	1080				
PLJHALKC_00141	CDS	1080				hypothetical protein
PLJHALKC_00142	gene	1170				
PLJHALKC_00142	CDS	1170				hypothetical protein
PLJHALKC_00143	gene	909				
PLJHALKC_00143	CDS	909				hypothetical protein
PLJHALKC_00144	gene	972	rfaC			
PLJHALKC_00144	CDS	972	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
PLJHALKC_00145	gene	1020	rfaF			
PLJHALKC_00145	CDS	1020	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
PLJHALKC_00146	gene	933	hldD			
PLJHALKC_00146	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
PLJHALKC_00147	gene	1194	kbl			
PLJHALKC_00147	CDS	1194	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
PLJHALKC_00148	gene	1026	tdh			
PLJHALKC_00148	CDS	1026	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
PLJHALKC_00149	gene	789				
PLJHALKC_00149	CDS	789				hypothetical protein
PLJHALKC_00150	gene	948				
PLJHALKC_00150	CDS	948				hypothetical protein
PLJHALKC_00151	gene	1257	envC			
PLJHALKC_00151	CDS	1257	envC		COG4942	Murein hydrolase activator EnvC
PLJHALKC_00152	gene	1545	gpmI			
PLJHALKC_00152	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
PLJHALKC_00153	gene	432	yibN			
PLJHALKC_00153	CDS	432	yibN		COG0607	putative protein YibN
PLJHALKC_00154	gene	252	grxC			
PLJHALKC_00154	CDS	252	grxC		COG0695	Glutaredoxin 3
PLJHALKC_00155	gene	468	secB			
PLJHALKC_00155	CDS	468	secB		COG1952	Protein-export protein SecB
PLJHALKC_00156	gene	1020	gpsA			
PLJHALKC_00156	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
PLJHALKC_00157	gene	822	cysE			
PLJHALKC_00157	CDS	822	cysE	2.3.1.30	COG1045	Serine acetyltransferase
PLJHALKC_00158	gene	474	trmL_1			
PLJHALKC_00158	CDS	474	trmL_1	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
PLJHALKC_00159	gene	1185	lldD_1			
PLJHALKC_00159	CDS	1185	lldD_1	1.1.-.-	COG1304	L-lactate dehydrogenase
PLJHALKC_00160	gene	774	lldR_1			
PLJHALKC_00160	CDS	774	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
PLJHALKC_00161	gene	1656	lldP			
PLJHALKC_00161	CDS	1656	lldP		COG1620	L-lactate permease
PLJHALKC_00162	gene	363	yibL			
PLJHALKC_00162	CDS	363	yibL			putative protein YibL
PLJHALKC_00163	gene	225	glgS_1			
PLJHALKC_00163	CDS	225	glgS_1			Surface composition regulator
PLJHALKC_00164	gene	597	mtlR			
PLJHALKC_00164	CDS	597	mtlR		COG3722	Mannitol operon repressor
PLJHALKC_00165	gene	1149	mtlD			
PLJHALKC_00165	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
PLJHALKC_00166	gene	1908	mtlA			
PLJHALKC_00166	CDS	1908	mtlA		COG2213	PTS system mannitol-specific EIICBA component
PLJHALKC_00167	gene	369	yiaW_1			
PLJHALKC_00167	CDS	369	yiaW_1			Inner membrane protein YiaW
PLJHALKC_00168	gene	1137	yibH_1			
PLJHALKC_00168	CDS	1137	yibH_1		COG1566	Inner membrane protein YibH
PLJHALKC_00169	gene	609	yibF			
PLJHALKC_00169	CDS	609	yibF		COG0625	putative GST-like protein YibF
PLJHALKC_00170	gene	1389	selA			
PLJHALKC_00170	CDS	1389	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
PLJHALKC_00171	gene	1842	selB			
PLJHALKC_00171	CDS	1842	selB		COG3276	Selenocysteine-specific elongation factor
PLJHALKC_00172	gene	486	cooF			
PLJHALKC_00172	CDS	486	cooF		COG1142	Iron-sulfur protein
PLJHALKC_00173	gene	1257	avtA			
PLJHALKC_00173	CDS	1257	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
PLJHALKC_00174	gene	2034	malS			
PLJHALKC_00174	CDS	2034	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
PLJHALKC_00175	gene	564				
PLJHALKC_00175	CDS	564				hypothetical protein
PLJHALKC_00176	gene	1179	xylR			
PLJHALKC_00176	CDS	1179	xylR			Xylose operon regulatory protein
PLJHALKC_00177	gene	1182	xylH			
PLJHALKC_00177	CDS	1182	xylH		COG4214	Xylose transport system permease protein XylH
PLJHALKC_00178	gene	1542	xylG_1			
PLJHALKC_00178	CDS	1542	xylG_1	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
PLJHALKC_00179	gene	996	xylF			
PLJHALKC_00179	CDS	996	xylF		COG4213	D-xylose-binding periplasmic protein
PLJHALKC_00180	gene	1323	xylA_1			
PLJHALKC_00180	CDS	1323	xylA_1	5.3.1.5		Xylose isomerase
PLJHALKC_00181	gene	1455	xylB_1			
PLJHALKC_00181	CDS	1455	xylB_1	2.7.1.17	COG1070	Xylulose kinase
PLJHALKC_00182	gene	372	yiaB			
PLJHALKC_00182	CDS	372	yiaB		COG4682	Inner membrane protein YiaB
PLJHALKC_00183	gene	447	yiaA			
PLJHALKC_00183	CDS	447	yiaA		COG4682	Inner membrane protein YiaA
PLJHALKC_00184	gene	996	wecH			
PLJHALKC_00184	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
PLJHALKC_00185	gene	303				
PLJHALKC_00185	CDS	303				hypothetical protein
PLJHALKC_00186	gene	912	glyQ			
PLJHALKC_00186	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
PLJHALKC_00187	gene	2070	glyS			
PLJHALKC_00187	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
PLJHALKC_00188	gene	1047				
PLJHALKC_00188	CDS	1047				IS481 family transposase ISKpn28
PLJHALKC_00189	gene	153	hokA			
PLJHALKC_00189	CDS	153	hokA			Protein HokA
PLJHALKC_00190	gene	1620	ettA_1			
PLJHALKC_00190	CDS	1620	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
PLJHALKC_00191	gene	213	cspA			
PLJHALKC_00191	CDS	213	cspA		COG1278	Cold shock protein CspA
PLJHALKC_00192	gene	291				
PLJHALKC_00192	CDS	291				hypothetical protein
PLJHALKC_00193	gene	1356	pcaK_2			
PLJHALKC_00193	CDS	1356	pcaK_2		COG0477	4-hydroxybenzoate transporter PcaK
PLJHALKC_00194	gene	711				
PLJHALKC_00194	CDS	711				hypothetical protein
PLJHALKC_00195	gene	972	ghrB			
PLJHALKC_00195	CDS	972	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
PLJHALKC_00196	gene	1281	ttuB_1			
PLJHALKC_00196	CDS	1281	ttuB_1			Putative tartrate transporter
PLJHALKC_00197	gene	936	kdgK_1			
PLJHALKC_00197	CDS	936	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
PLJHALKC_00198	gene	750				
PLJHALKC_00198	CDS	750				hypothetical protein
PLJHALKC_00199	gene	1017	kdgR_1			
PLJHALKC_00199	CDS	1017	kdgR_1		COG1609	HTH-type transcriptional regulator KdgR
PLJHALKC_00200	gene	663	yiaD			
PLJHALKC_00200	CDS	663	yiaD		COG2885	putative lipoprotein YiaD
PLJHALKC_00201	gene	2331	bisC			
PLJHALKC_00201	CDS	2331	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
PLJHALKC_00202	gene	441	yiaC			
PLJHALKC_00202	CDS	441	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
PLJHALKC_00203	gene	582	tag			
PLJHALKC_00203	CDS	582	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
PLJHALKC_00204	gene	645				
PLJHALKC_00204	CDS	645				hypothetical protein
PLJHALKC_00205	gene	1206	yhjX			
PLJHALKC_00205	CDS	1206	yhjX			putative MFS-type transporter YhjX
PLJHALKC_00206	gene	1674	eptB			
PLJHALKC_00206	CDS	1674	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
PLJHALKC_00207	gene	1395				
PLJHALKC_00207	CDS	1395				hypothetical protein
PLJHALKC_00208	gene	77				
PLJHALKC_00208	tRNA	77				tRNA-Pro(cgg)
PLJHALKC_00209	gene	522				
PLJHALKC_00209	CDS	522				IS3 family transposase ISKpn1
PLJHALKC_00210	gene	786				
PLJHALKC_00210	CDS	786				IS3 family transposase ISKpn1
PLJHALKC_00211	gene	1608	dppA_1			
PLJHALKC_00211	CDS	1608	dppA_1		COG0747	Periplasmic dipeptide transport protein
PLJHALKC_00212	gene	1020	dppB_1			
PLJHALKC_00212	CDS	1020	dppB_1		COG0601	Dipeptide transport system permease protein DppB
PLJHALKC_00213	gene	903	dppC			
PLJHALKC_00213	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
PLJHALKC_00214	gene	984	dppD_1			
PLJHALKC_00214	CDS	984	dppD_1		COG0444	Dipeptide transport ATP-binding protein DppD
PLJHALKC_00215	gene	1014	oppF_1			
PLJHALKC_00215	CDS	1014	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
PLJHALKC_00216	gene	540				
PLJHALKC_00216	CDS	540				hypothetical protein
PLJHALKC_00217	gene	792	bcsQ_1			
PLJHALKC_00217	CDS	792	bcsQ_1			Cellulose biosynthesis protein BcsQ
PLJHALKC_00218	gene	2112	acsAB			
PLJHALKC_00218	CDS	2112	acsAB			Cellulose synthase 1
PLJHALKC_00219	gene	2436	bcsB_1			
PLJHALKC_00219	CDS	2436	bcsB_1			Cyclic di-GMP-binding protein
PLJHALKC_00220	gene	4053	bepA_1			
PLJHALKC_00220	CDS	4053	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
PLJHALKC_00221	gene	477				
PLJHALKC_00221	CDS	477				hypothetical protein
